codDP,nmDP,enderecoDP
60,060ª DP - Campos Elíseos,"Rua Doutor Manoel Alves, s/n - Centro, Campos Elíseos, Duque de Caxias - RJ"
61,061ª DP - Xerém,"Rua Maranhão, 5 - Xerém, Duque de Caxias - RJ, 25250-410"
62,062ª DP - Imbariê,"Rua Marechal Hermes, s/nº - Rio Imbariê, Duque de Caxias - RJ, 25255-030"
63,063ª DP - Japeri,"3786, Rua Vereador Francisco Costa Filho, 3546 - Santa Inês, Japeri - RJ"
64,064ª DP - São João de Meriti,"Avenida Doutor Arruda Negreiro, s/nº - São Mateus, São João de Meriti - RJ, 25520-315"
65,065ª DP - Magé,"Praça Getúlio Vargas, 20 - Centro, Magé - RJ, 25900-112"
66,066ª DP - Piabetá,"Avenida Santos Dumont, s/n - Piabetá, Magé - RJ, 25931-758"
67,067ª DP - Guapimirim,"Estrada do Bananal, 2551 - Bananal, Guapimirim - RJ, 25940-000"
70,070ª DP - Tanguá,"Rua Firmino Francisco Leite, s/nº - Centro, Tanguá - RJ, 24890-000"
71,071ª DP - Itaboraí,"Avenida Vinte e Dois de Maio, 5963 - Centro, Itaboraí - RJ, 24800-213"
72,072ª DP - São Gonçalo,"Avenida Dezoito do Forte, 578 - Mutua, São Gonçalo - RJ, 24460-000"
73,073ª DP - Neves,"Rua Oliveira Botelho, s/n - Neves, São Gonçalo - RJ, 24425-000"
74,074ª DP - Alcântara,"Rua Doutor Alfredo Backer, 615 - Alcântara, São Gonçalo - RJ, 24452-001"
75,075ª DP - Rio do Ouro,"Estrada Velha de Marica, s/n - Rio do Ouro, São Gonçalo - RJ, 24753-060"
76,076ª DP - Niterói,"Avenida Ernani do Amaral Peixoto, s/nº - Centro, Niterói - RJ, 24020-004"
77,077ª DP - Icaraí,"Rua Lemos Cunha, 475 - Icaraí, Niterói - RJ, 24230-131"
78,078ª DP - Fonseca,"Alameda São Boaventura, 773 - Fonseca, Niterói - RJ, 24120-191"
79,079ª DP - Jurujuba,"Avenida Quintino Bocaiúva, 115 - Charitas, Niterói - RJ, 24370-001"
81,081ª DP - Itaipu,"Avenida Francisco da Cruz, 6666 - Itaipu, Niterói - RJ, 24320-330"
82,082ª DP - Maricá,"Rua Ataíde Parreira, s/nº - Centro, Maricá - RJ, 24901-000"
88,088ª DP - Barra do Piraí,"Rua José Alves Pimenta, 1462 - Matadouro, Barra do Piraí - RJ, 27123-120"
89,089ª DP - Resende,"Avenida Rita Maria Ferreira da Rocha, s/nº - Jardim Jalisco, Resende - RJ, 27510-060"
90,090ª DP - Barra Mansa,"Avenida Domingos Mariano, s/nº - Centro, Barra Mansa - RJ, 27330-041"
91,091ª DP - Valença,"Avenida Doutor Osiris de Paiva Souza, s/nº - Valença - RJ, 27600-000"
92,092ª DP - Rio das Flores,"Rua João Carvalho da Rocha, 71 - Centro - Rio das Flores - RJ, 27660-000"
93,093ª DP - Volta Redonda,"Avenida Lucas Evangelista de Oliveira Franco, 667 - Aterrado, Volta Redonda - RJ, 27215-630"
94,094ª DP - Piraí,"Rua 15 de Novembro 290 - Centro, Piraí - RJ, 27175-000"
95,095ª DP - Vassouras,"Avenida Marechal Paulo Torres, 477 - Centro, Vassouras - RJ, 27700-000"
96,096ª DP - Miguel Pereira,"Rua Zeni Esteves, s/n - São Judas Tadeu, Miguel Pereira - RJ, 26900-000"
97,097ª DP - Mendes,"Rua Maria Caetana, 54 - Vila Wesley, Mendes - RJ, 26700-000"
98,098ª DP - Engenheiro Paulo de Frontin,"Rua Manoel Pedro, 1-93 - São Lourenço, Engenheiro Paulo de Frontin - RJ, 26650-000"
99,099ª DP - Itatiaia,"Avenida Lauro Mendes Bernardes - Cidade Jardim Itatiaia, Itatiaia - RJ, 27580-000"
100,100ª DP - Porto Real,"Rua Ariosto Roberto Pederasse, 573 - Centro, Porto Real - RJ, 27570-000"
101,101ª DP - Pinheiral,"Rua José Breves, 294 - Centro, Pinheiral - RJ, 27197-000"
104,104ª DP - São José do Vale do Rio Preto,"Rua Alfredo Jacinto Franco, s/n - Valverde, São José do Vale do Rio Preto - RJ, 25780-000"
105,105ª DP - Petrópolis,"Avenida Barão do Rio Branco, 3099 - Retiro, Petrópolis - RJ, 25680-275"
106,106ª DP - Itaipava,"Estrada União e Indústria, 8764 - Nogueira, Petrópolis - RJ, 25730-735"
107,107ª DP - Paraíba do Sul,"Praça Garcia, 27 - Centro, Paraíba do Sul - RJ, 25850-000"
108,108ª DP - Três Rios,"Avenida Castro Alves, 120 - Portão Vermelho, Três Rios - RJ, 25808-020"
109,109ª DP - Sapucaia,"Rua Rafael Langoni, 600 - Beira Rio, Sapucaia - RJ, 25880-000"
